City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
178,Moose Factory,CA,51.2585,-80.6094,41,75,90,10.36,overcast clouds
179,Balkhash,KZ,46.844,74.9804,53.8,51,23,18.45,few clouds
180,Mount Gambier,AU,-37.8333,140.7667,53.6,87,90,8.05,overcast clouds
181,Lais,PH,6.3328,125.6464,80.44,78,100,6.8,overcast clouds
182,Shadrinsk,RU,56.0852,63.6335,43.12,59,21,5.44,few clouds
183,Srednekolymsk,RU,67.45,153.6833,14.11,80,100,10.67,overcast clouds
184,Teguise,ES,29.0605,-13.564,71.6,60,20,20.71,few clouds
185,Novyye Burasy,RU,52.1324,46.0714,50.5,90,100,8.95,light rain
186,Melo,UY,-32.3667,-54.1833,74.5,67,0,8.21,clear sky
187,Nouadhibou,MR,20.931,-17.0347,71.6,64,0,20.71,clear sky
188,Hamilton,US,39.1834,-84.5333,55,71,90,12.66,light rain
189,Mnogovershinnyy,RU,53.9353,139.9242,22.44,98,52,2.62,broken clouds
190,Paranga,RU,56.7039,49.4047,38.16,82,0,5.66,clear sky
191,Vanavara,RU,60.34,102.2797,6.51,95,54,4.7,broken clouds
192,Korla,CN,41.7597,86.1469,62.83,27,95,1.74,overcast clouds
193,Maun,BW,-19.9833,23.4167,69.8,60,0,5.75,clear sky
194,Saint George,US,37.1041,-113.5841,64,25,75,8.05,broken clouds
195,Lucea,JM,18.451,-78.1736,84.2,74,75,20.71,broken clouds
196,Mandiana,GN,10.6333,-8.6833,84.6,48,100,5.68,overcast clouds
197,Port Lincoln,AU,-34.7333,135.8667,57.38,79,5,4.65,clear sky
198,Balikpapan,ID,-1.2675,116.8289,75.72,88,100,4.05,overcast clouds
199,Nanzhou,CN,29.3596,112.4024,58.42,66,100,6.62,overcast clouds
200,Georgetown,MY,5.4112,100.3354,80.6,83,40,3.44,scattered clouds
201,San Quintin,MX,30.4833,-115.95,63.43,64,0,16.84,clear sky
202,Hun,LY,29.1268,15.9477,79.29,35,23,15.46,few clouds
203,Zambezi,ZM,-13.5432,23.1047,67.05,60,99,5.48,overcast clouds
204,East London,ZA,-33.0153,27.9116,64.4,77,0,11.5,clear sky
205,Sorong,ID,-0.8833,131.25,78.48,85,88,6.29,overcast clouds
206,Sulangan,PH,11.1373,123.7228,82.36,71,100,24.09,heavy intensity rain
207,Nizhniy Kuranakh,RU,58.8353,125.4869,26.22,92,100,5.75,light snow
208,Zhigalovo,RU,54.8097,105.1578,22.14,85,88,5.82,overcast clouds
209,Nanakuli,US,21.3906,-158.1547,77,61,1,8.05,clear sky
210,Saldanha,ZA,-33.0117,17.9442,68,34,0,3.44,clear sky
211,Tuatapere,NZ,-46.1333,167.6833,51.01,93,92,5.01,overcast clouds
212,Riberalta,BO,-10.9833,-66.1,86.63,66,99,4.27,overcast clouds
213,San Policarpo,PH,12.1791,125.5072,77.23,94,100,29.89,moderate rain
214,Opuwo,NA,-18.0607,13.84,73.49,45,74,7.07,broken clouds
215,Flagstaff,US,35.1981,-111.6513,48,45,90,8.05,overcast clouds
216,Rawson,AR,-43.3002,-65.1023,68.07,39,100,20.8,overcast clouds
217,Cherskiy,RU,68.75,161.3,15.98,74,2,19.04,clear sky
218,Dikson,RU,73.5069,80.5464,-16.19,100,30,3.4,scattered clouds
219,Puerto Leguizamo,CO,-0.1934,-74.7819,73.38,95,100,1.7,overcast clouds
220,Broome,US,42.2506,-75.833,48,70,90,9.22,overcast clouds
221,Touros,BR,-5.1989,-35.4608,82.4,74,40,8.05,light rain
222,Ballina,AU,-28.8667,153.5667,60.8,82,90,10.36,overcast clouds
223,Sola,VU,-13.8833,167.55,82.6,73,41,15.3,scattered clouds
224,General Roca,AR,-39.0333,-67.5833,71.6,37,0,4.61,clear sky
225,Hami,CN,42.8,93.45,63.5,12,100,4.16,overcast clouds
226,Nanortalik,GL,60.1432,-45.2371,25.84,51,3,33.67,clear sky
227,Pangnirtung,CA,66.1451,-65.7125,6.8,72,20,4.61,few clouds
228,Fairbanks,US,64.8378,-147.7164,39.2,64,1,2.55,clear sky
229,Kyrylivka,UA,46.3759,35.3675,47.19,72,5,9.22,clear sky
230,Samarai,PG,-10.6167,150.6667,82,79,72,12.66,broken clouds
231,Zafra,ES,38.4167,-6.4167,66.2,42,0,5.75,clear sky
232,Grindavik,IS,63.8424,-22.4338,39.2,81,90,9.22,overcast clouds
233,El Alto,PE,-4.2714,-81.2147,84.2,51,0,14.97,clear sky
234,Kismayo,SO,-0.3582,42.5454,83.16,76,47,13.87,scattered clouds
235,Mehamn,NO,71.0357,27.8492,35.01,90,16,10.83,few clouds
236,Porto Novo,BJ,6.4965,2.6036,84.2,84,40,13.8,scattered clouds
237,Sur,OM,22.5667,59.5289,83.46,58,83,6.67,broken clouds
238,Barentu,ER,15.1139,37.5928,78.93,39,91,17.31,overcast clouds
239,Berlevag,NO,70.8578,29.0864,37.85,88,72,11.43,broken clouds
240,Pombas,CV,17.1503,-25.0201,73.4,60,20,29.93,few clouds
241,Taoudenni,ML,22.6783,-3.9836,88.95,12,0,7.92,clear sky
242,Kralendijk,BQ,12.15,-68.2667,86,66,75,20.71,broken clouds
243,Orange Cove,US,36.6244,-119.3137,72,43,14,4,few clouds
244,Ola,RU,59.5833,151.2833,17.83,95,76,6.49,broken clouds
245,Cockburn Town,TC,21.4612,-71.1419,78.62,80,0,9.19,clear sky
246,Chernyshevskiy,RU,63.0128,112.4714,6.58,88,100,11.12,overcast clouds
247,Wajima,JP,37.4,136.9,47.93,78,57,33.04,broken clouds
248,Razam,IN,18.4667,83.6667,80.55,76,0,5.08,clear sky
249,Maltahohe,NA,-24.8333,16.9833,69.22,38,12,7.72,few clouds
250,Hashtgerd,IR,35.9642,50.6858,62.6,27,0,3.06,clear sky
251,Faya,SA,18.3851,42.4509,60.8,55,40,4.92,scattered clouds
252,Katsuura,JP,35.1333,140.3,61,73,100,7,overcast clouds
253,Yar-Sale,RU,66.8333,70.8333,-10.26,99,74,8.55,broken clouds
254,Dwarka,IN,22.2394,68.9678,80.4,84,0,10.92,clear sky
255,Krasnoselkup,RU,65.7,82.4667,-4.68,93,60,13.82,broken clouds
256,Lander,US,42.833,-108.7307,48.99,42,75,12.66,broken clouds
257,Ribas Do Rio Pardo,BR,-20.4431,-53.7592,81.77,50,87,6.04,overcast clouds
258,Asyut,EG,27.181,31.1837,86,26,0,9.22,clear sky
259,Eidsvag,NO,62.7767,8.0668,44.6,61,27,8.05,scattered clouds
260,Troitskoye,RU,52.9821,84.6757,29.55,90,28,2.93,scattered clouds
261,Ipaussu,BR,-23.0553,-49.6284,75.67,65,100,3.78,overcast clouds
262,Kasongo-Lunda,CD,-6.4667,16.8167,73.17,89,15,2.19,few clouds
263,Ko Samui,TH,9.5357,99.9357,83.26,72,100,8.86,overcast clouds
264,Ardesen,TR,41.1911,40.9875,53.6,87,75,8.05,broken clouds
265,Alta Gracia,AR,-31.6529,-64.4283,84.99,62,60,17,broken clouds
266,Sakhon Nakhon,TH,17.1612,104.1472,75.47,82,33,4.72,scattered clouds
267,Sanming,CN,26.2486,117.6186,63.21,79,72,2.73,broken clouds
268,Chapais,CA,49.7834,-74.8492,50,46,20,6.91,few clouds
269,Veere,NL,51.5483,3.6667,44.01,84,13,7,few clouds
270,Barkly West,ZA,-28.5354,24.5215,53.6,54,4,1.14,clear sky
271,Fairlie,GB,55.756,-4.8556,50,70,100,4,overcast clouds
272,Tabuk,PH,17.4189,121.4443,72.86,80,100,7.2,overcast clouds
273,Talusan,PH,7.4267,122.8103,81.95,77,100,12.77,overcast clouds
274,Norman Wells,CA,65.282,-126.8329,39.2,56,75,4.72,broken clouds
275,Guarapari,BR,-20.6667,-40.4975,81,78,40,9.22,scattered clouds
276,Payson,US,40.0444,-111.7321,53.01,40,40,11.5,scattered clouds
277,Amot,NO,59.5714,7.9877,46,58,19,4,few clouds
278,Flin Flon,CA,54.7682,-101.865,48.2,46,40,8.05,scattered clouds
279,Coahuayana,MX,18.7333,-103.6833,84.2,30,1,11.5,clear sky
280,Ishigaki,JP,24.3448,124.1572,70.83,61,6,26.96,clear sky
281,Angoche,MZ,-16.2325,39.9086,76.64,64,100,15.86,overcast clouds
282,Eydhafushi,MV,5.1033,73.0708,83.32,74,78,8.61,broken clouds
283,Les Escoumins,CA,48.1111,-69.0236,39.2,81,89,23.02,overcast clouds
284,Kinshasa,CD,-4.3246,15.3215,87.8,70,20,3.44,few clouds
285,Yanggu,CN,36.1106,115.7753,45.36,24,3,7.54,clear sky
286,Torbay,CA,47.6666,-52.7314,41,81,90,17.27,overcast clouds
287,Kapoeta,SS,4.7717,33.5903,84.61,43,100,5.44,overcast clouds
288,Saint-Joseph,RE,-21.3667,55.6167,73.4,94,90,6.91,"moderate rain', 'mist"
289,Makakilo City,US,21.3469,-158.0858,77,61,1,8.05,clear sky
290,Kidal,ML,18.4411,1.4078,95.63,4,100,9.33,overcast clouds
291,Rabo De Peixe,PT,37.8,-25.5833,64.4,94,75,10.36,broken clouds
292,Hargeysa,SO,9.56,44.065,71.73,64,100,8.46,light rain
293,Coquimbo,CL,-29.9533,-71.3436,62.6,72,40,11.5,scattered clouds
294,Waingapu,ID,-9.6567,120.2641,76.42,85,100,5.5,overcast clouds
295,Birin,NP,26.8865,88.0718,57.47,72,1,4.5,clear sky
296,Lodja,CD,-3.4833,23.4333,70.32,96,21,2.55,light rain
297,Mabaruma,GY,8.2,-59.7833,87.8,70,40,11.5,scattered clouds
298,Fortuna,US,40.5982,-124.1573,55.4,82,1,13.8,clear sky
299,Sinnamary,GF,5.3833,-52.95,81.64,72,97,14.5,overcast clouds
300,San Patricio,US,28.017,-97.5169,62.6,77,90,10.36,overcast clouds
301,Astoria,US,46.1879,-123.8313,75.2,31,1,9.22,clear sky
302,Maniitsoq,GL,65.4167,-52.9,14.4,72,99,11.65,overcast clouds
