City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
162,Hualmay,PE,73.2,few clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
165,Pochutla,MX,88.0,broken clouds,15.7432,-96.4661,Hotel Posada San Jose
166,Cabo San Lucas,MX,86.0,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
168,Grand Gaube,MU,78.01,few clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
170,Balkanabat,TM,72.14,clear sky,39.5108,54.3671,Nebitchi Hotel
173,Grants Pass,US,73.0,clear sky,42.43899999999999,-123.3284,La Quinta Inn & Suites by Wyndham Grants Pass
176,Maldonado,UY,73.4,scattered clouds,-34.6667,-54.9167,La Cimarrona
181,Lais,PH,80.44,overcast clouds,6.3328,125.6464,
184,Teguise,ES,71.6,few clouds,29.0605,-13.564,B&B La Casona de Nazaret
186,Melo,UY,74.5,clear sky,-32.3667,-54.1833,Hotel Cafer
187,Nouadhibou,MR,71.6,clear sky,20.930999999999997,-17.0347,El Medina
193,Maun,BW,69.8,clear sky,-19.9833,23.4167,Enviro Villa
195,Lucea,JM,84.2,broken clouds,18.451,-78.1736,Grand Palladium Jamaica Resort & Spa
196,Mandiana,GN,84.6,overcast clouds,10.6333,-8.6833,Centre d'accueil de Mandiana
198,Balikpapan,ID,75.72,overcast clouds,-1.2675,116.8289,ibis Balikpapan
200,Georgetown,MY,80.6,scattered clouds,5.4112,100.3354,Cititel Penang
202,Hun,LY,79.29,few clouds,29.1268,15.9477,Alrwasi Hotel
205,Sorong,ID,78.48,overcast clouds,-0.8833,131.25,waigo splash hotel
206,Sulangan,PH,82.36,heavy intensity rain,11.1373,123.7228,Maia's Beach Resort
209,Nanakuli,US,77.0,clear sky,21.3906,-158.1547,Camp Pālehua
210,Saldanha,ZA,68.0,clear sky,-33.0117,17.9442,Blue Bay Lodge
212,Riberalta,BO,86.63,overcast clouds,-10.9833,-66.1,Hotel Colonial
213,San Policarpo,PH,77.23,moderate rain,12.1791,125.5072,JM Lodge
216,Rawson,AR,68.07,overcast clouds,-43.3002,-65.1023,Hosteria Sampedro
219,Puerto Leguizamo,CO,73.38,overcast clouds,-0.1934,-74.7819,la casona de juancho
221,Touros,BR,82.4,light rain,-5.1989,-35.4608,INN NEW HORIZON
223,Sola,VU,82.6,scattered clouds,-13.8833,167.55,Leumerus Bungalows
224,General Roca,AR,71.6,clear sky,-39.0333,-67.5833,Hotel y Casino del Río General Roca
230,Samarai,PG,82.0,broken clouds,-10.6167,150.6667,Nuli Sapi
233,El Alto,PE,84.2,clear sky,-4.2714,-81.2147,Black Marlin Restaurant & Hospedaje
234,Kismayo,SO,83.16,scattered clouds,-0.3582,42.5454,Agan-Hotel
236,Porto Novo,BJ,84.2,scattered clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
237,Sur,OM,83.46,broken clouds,22.5667,59.5289,Sur Plaza Hotel
238,Barentu,ER,78.93,overcast clouds,15.1139,37.5928,
240,Pombas,CV,73.4,few clouds,17.1503,-25.0201,POUSADA O RECANTO
241,Taoudenni,ML,88.95,clear sky,22.6783,-3.9836,
242,Kralendijk,BQ,86.0,broken clouds,12.15,-68.2667,Divi Flamingo Beach Resort & Casino
243,Orange Cove,US,72.0,few clouds,36.6244,-119.3137,
245,Cockburn Town,TC,78.62,clear sky,21.4612,-71.1419,Osprey Beach Hotel
248,Razam,IN,80.55,clear sky,18.4667,83.6667,Satpura Block Boys Hostel
254,Dwarka,IN,80.4,clear sky,22.2394,68.9678,Hotel Narayan Avezika Comfort
257,Ribas Do Rio Pardo,BR,81.77,overcast clouds,-20.4431,-53.7592,Pousada Avenida
258,Asyut,EG,86.0,clear sky,27.180999999999997,31.1837,Florence Hotel Assiut
261,Ipaussu,BR,75.67,overcast clouds,-23.0553,-49.6284,Hotel Pousada Recanto das Garças
262,Kasongo-Lunda,CD,73.17,few clouds,-6.4667,16.8167,
263,Ko Samui,TH,83.26,overcast clouds,9.5357,99.9357,"The Passage Samui Villas & Resort, Thailand"
265,Alta Gracia,AR,84.99,broken clouds,-31.6529,-64.4283,Hotel Ritz
266,Sakhon Nakhon,TH,75.47,scattered clouds,17.1612,104.1472,บริษัท สกลแกรนด์พาเลซ จำกัด
272,Tabuk,PH,72.86,overcast clouds,17.4189,121.4443,Golden Berries Hotel and Convention
273,Talusan,PH,81.95,overcast clouds,7.4267,122.8103,Niesas Lodging House
275,Guarapari,BR,81.0,scattered clouds,-20.6667,-40.4975,Hotel Porto do Sol
279,Coahuayana,MX,84.2,clear sky,18.7333,-103.6833,El rranchito michuacan de ocampos
280,Ishigaki,JP,70.83,clear sky,24.3448,124.1572,Hotel Peace Land Ishigakijima
281,Angoche,MZ,76.64,overcast clouds,-16.2325,39.9086,Guest House HESADA
282,Eydhafushi,MV,83.32,broken clouds,5.1033,73.0708,Soneva Fushi
284,Kinshasa,CD,87.8,few clouds,-4.3246,15.3215,Star Hotel II
287,Kapoeta,SS,84.61,overcast clouds,4.7717,33.5903,Eastgate Hotel
288,Saint-Joseph,RE,73.4,"moderate rain', 'mist",-21.3667,55.6167,"""Plantation Bed and Breakfast"
289,Makakilo City,US,77.0,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
290,Kidal,ML,95.63,overcast clouds,18.4411,1.4078,
292,Hargeysa,SO,71.73,light rain,9.56,44.065,City Center Hotel
294,Waingapu,ID,76.42,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
296,Lodja,CD,70.32,light rain,-3.4833,23.4333,
297,Mabaruma,GY,87.8,scattered clouds,8.2,-59.7833,Monty Brooms Guest House
299,Sinnamary,GF,81.64,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
301,Astoria,US,75.2,clear sky,46.1879,-123.8313,Best Western Astoria Bayfront Hotel
306,Galesong,ID,73.4,few clouds,-5.3166,119.3661,Sapriadi Appy
309,Aswan,EG,86.31,clear sky,24.0934,32.907,Nuba Nile
310,Odienne,CI,78.22,overcast clouds,9.51,-7.5692,Oustaz Vame DIAKITE
311,Meulaboh,ID,77.34,broken clouds,4.1363,96.1285,Kost Pria
312,Ternate,ID,80.82,overcast clouds,0.8,127.4,Grand Dafam Bela Ternate
314,Jiwani,PK,81.73,clear sky,25.05,61.7417,Al Mumtaz Transport Jiwani
317,Port-Gentil,GA,84.2,few clouds,-0.7193,8.7815,Fengshui Residence
318,Hit,IQ,79.7,clear sky,33.6416,42.8251,صالون زيرو
320,Eslamshahr,IR,68.0,clear sky,35.5605,51.2346,آموزشگاه رانندگی بهمن
321,Lahaina,US,75.2,scattered clouds,20.8783,-156.6825,Lahaina Shores Beach Resort
322,Umm Lajj,SA,81.55,clear sky,25.0213,37.2685,Moon light Furnished Units
323,Cidreira,BR,73.44,moderate rain,-30.1811,-50.2056,Hotel Castelo
324,Moerai,PF,78.82,few clouds,-22.4333,-151.3333,Le Manotel
326,Diamantino,BR,88.43,moderate rain,-14.4086,-56.4461,Hotel Delta
331,Gamba,GA,79.52,overcast clouds,-2.65,10.0,
333,Ures,MX,84.99,clear sky,29.4333,-110.4,Hotel HACIENDA San Francisco
336,Solano,US,80.6,clear sky,38.2333,-121.9511,Travis AFB FamCamp
339,Kavaratti,IN,84.36,clear sky,10.5669,72.642,Hotels in Lakshadweep Islands
340,Laguna,US,81.0,clear sky,38.421,-121.4238,Holiday Inn Express & Suites Elk Grove Central - Hwy 99
342,Bukama,CD,70.11,overcast clouds,-9.2,25.85,
343,Kaohsiung,TW,78.8,broken clouds,22.6163,120.3133,Kindness Hotel
344,Coihueco,CL,69.8,overcast clouds,-36.6167,-71.8333,Frutillares Coihueco
348,Kahului,US,75.2,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
352,Rio Grande,BR,78.8,few clouds,-32.035,-52.0986,Hotel Atlântico Rio Grande
353,Natal,BR,82.4,broken clouds,-5.795,-35.2094,Villa Park Hotel | Natal
357,Victoria,HK,73.99,overcast clouds,22.2855,114.1577,Mini Hotel Central
361,Bayir,TR,78.8,light rain,37.2687,28.2167,Hotel Babadag
364,Los Llanos De Aridane,ES,68.0,broken clouds,28.6585,-17.9182,Valle Aridane
