City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
120,Tsiroanomandidy,MG,2021-04-08 19:50:07,-18.7667,46.0333,67.26,90,100,2.35
121,Bolu,TR,2021-04-08 19:50:08,40.6667,31.5833,32.52,96,98,6.13
122,Kamenka,RU,2021-04-08 19:50:08,51.3223,42.7678,42.01,65,100,5.55
123,Cap-Aux-Meules,CA,2021-04-08 19:50:09,47.3821,-61.8597,42.8,81,1,14.97
124,Kodiak,US,2021-04-08 19:46:48,57.79,-152.4072,35.6,51,1,24.16
125,Chuy,UY,2021-04-08 19:50:09,-33.6971,-53.4616,77.65,66,100,7.11
126,Lloydminster,CA,2021-04-08 19:47:20,53.2835,-110.0016,39.2,65,90,18.41
127,Mount Pleasant,US,2021-04-08 19:50:10,32.7941,-79.8626,79.0,47,1,8.05
128,Tevaitoa,PF,2021-04-08 19:50:11,-16.7833,-151.5,81.59,71,45,11.21
129,Mahebourg,MU,2021-04-08 19:46:13,-20.4081,57.7,78.8,78,40,5.75
130,Dossor,KZ,2021-04-08 19:50:11,47.5272,52.9811,57.88,38,5,14.32
131,Uruzgan,AF,2021-04-08 19:50:12,32.8333,66.0,57.33,22,3,2.08
132,Trapani,IT,2021-04-08 19:50:12,37.8333,12.6667,50.0,71,0,5.75
133,Dikson,RU,2021-04-08 19:50:13,73.5069,80.5464,0.52,79,13,12.28
134,Cody,US,2021-04-08 19:50:13,44.5263,-109.0565,63.0,21,75,10.36
135,Sari,IR,2021-04-08 19:50:14,36.5633,53.0601,64.09,65,18,5.28
136,Arraial Do Cabo,BR,2021-04-08 19:50:14,-22.9661,-42.0278,77.0,73,40,6.91
137,Taicheng,CN,2021-04-08 19:50:14,38.731,113.228,46.47,74,91,1.79
138,Sterlibashevo,RU,2021-04-08 19:50:15,53.4376,55.2578,34.07,98,93,6.8
139,Rio Gallegos,AR,2021-04-08 19:50:16,-51.6226,-69.2181,51.8,37,0,24.16
140,Tarut,SA,2021-04-08 19:50:16,26.5733,50.0369,77.0,23,0,4.61
141,Alyangula,AU,2021-04-08 19:50:16,-13.8483,136.4192,71.6,100,49,2.3
142,Yerbogachen,RU,2021-04-08 19:47:31,61.2767,108.0108,14.52,90,100,9.46
143,Chokurdakh,RU,2021-04-08 19:50:17,70.6333,147.9167,-10.19,93,99,5.23
144,Nkhata Bay,MW,2021-04-08 19:50:18,-11.6066,34.2907,70.36,85,25,5.32
145,Cayambe,EC,2021-04-08 19:47:07,0.05,-78.1333,69.8,52,40,11.5
146,Flinders,AU,2021-04-08 19:50:18,-34.5833,150.8552,63.0,90,100,1.01
147,Cehal,RO,2021-04-08 19:50:19,47.3833,22.6,36.0,93,75,4.29
148,Tiarei,PF,2021-04-08 19:50:19,-17.5333,-149.3333,84.2,65,75,3.44
149,Puerto El Triunfo,SV,2021-04-08 19:50:19,13.2833,-88.55,95.0,43,40,2.3
150,Sokoni,TZ,2021-04-08 19:50:20,-6.4333,39.55,75.2,94,20,5.75
151,Katsuura,JP,2021-04-08 19:50:20,35.1333,140.3,51.01,74,38,5.01
152,Jacksonville,US,2021-04-08 19:48:28,30.3322,-81.6556,84.2,36,75,14.97
153,Port Lincoln,AU,2021-04-08 19:50:21,-34.7333,135.8667,60.42,68,68,14.65
154,Tuatapere,NZ,2021-04-08 19:50:21,-46.1333,167.6833,41.0,96,5,1.99
155,Grindavik,IS,2021-04-08 19:50:22,63.8424,-22.4338,23.0,63,75,23.02
156,Kugulta,RU,2021-04-08 19:50:22,45.3636,42.3889,50.0,93,90,8.95
157,Seydisehir,TR,2021-04-08 19:50:22,37.4193,31.8453,46.29,77,9,4.63
158,Preston,GB,2021-04-08 19:50:23,53.7667,-2.7167,46.99,87,75,27.63
159,Yulara,AU,2021-04-08 19:50:23,-25.2406,130.9889,64.4,45,33,5.75
160,Dolores Hidalgo,MX,2021-04-08 19:45:27,21.1561,-100.9308,86.0,16,2,1.01
161,Ndele,CF,2021-04-08 19:50:24,8.4109,20.6473,85.77,28,100,6.15
162,Novopokrovka,UA,2021-04-08 19:50:24,49.8425,36.5477,39.2,52,0,6.71
163,Swan Hill,AU,2021-04-08 19:50:25,-35.3378,143.5544,63.99,73,100,12.01
164,Tarko-Sale,RU,2021-04-08 19:50:25,64.9225,77.785,15.6,98,92,6.29
165,Rensvik,NO,2021-04-08 19:50:25,63.1,7.8167,33.8,86,75,4.61
166,Tra Vinh,VN,2021-04-08 19:50:26,9.9347,106.3453,78.6,82,60,3.31
167,San Lawrenz,MT,2021-04-08 19:50:27,36.0553,14.204,53.01,62,20,6.91
168,Hualmay,PE,2021-04-08 19:50:27,-11.0964,-77.6139,73.49,77,64,9.22
169,Rurrenabaque,BO,2021-04-08 19:50:28,-14.4413,-67.5278,91.4,70,75,3.98
170,Sovetsk,RU,2021-04-08 19:50:28,55.0839,21.8785,35.83,87,11,10.2
171,Los Llanos De Aridane,ES,2021-04-08 19:50:29,28.6585,-17.9182,69.8,78,40,6.15
172,Hibbing,US,2021-04-08 19:50:29,47.4272,-92.9377,50.0,93,90,8.05
173,La Rioja,ES,2021-04-08 19:50:30,42.25,-2.5,55.4,88,0,5.75
174,Eucaliptus,BO,2021-04-08 19:50:30,-17.5833,-67.5167,64.33,22,9,7.18
175,Kushiro,JP,2021-04-08 19:50:30,42.975,144.3747,30.29,62,3,8.19
176,Atuona,PF,2021-04-08 19:50:31,-9.8,-139.0333,80.96,76,9,16.8
